stopwords
a
an
and
are
as
at
be
but
by
for
if
in
into
is
it
no
not
of
on
or
such
that
the
their
then
there
these
they
this
to
was
will
with
i
so
you
your
even
who
whose
because
can
should
their
himself
may
very
or
ways
do
set
get
up
he
far
today
out
her
hers
he
own
him
his
its
each
else
what
she
would
let
lets
